"compagnia_aerea","aeroplano"
"KLM Helicopter","AP558"
"Cyprair Tours","AP802"
"Sheba Aviation","AP558"
"Armavia","AP199"
"Bismillah Airlines","AP618"
"Indonesa Air Aisa X","AP433"
"Paragon Air Express","AP151"
"Global Jet Luxembourg","AP156"
"Los Cedros Aviacion","AP86"
"President Airlines","AP354"
"Futura Gael","AP315"
"Aerolineas Dominicanas","AP728"
"Starspeed","AP721"
"Wings of England","AP561"
"Skyjet Airlines","AP393"
"Uvavemex","AP938"
"Westair Industries","AP632"
"RAF Barkston Heath","AP233"
"Trans-Pacific Orient Airways","AP295"
"United States Department Of Agriculture","AP978"
"Badr Airlines","AP440"
"Helicopter Training & Hire","AP582"
"Great American Airways","AP752"
"Aerolineas Pacifico Atlantico","AP147"
"Pan Europeenne Air Service","AP568"
"Sierra Express","AP211"
"King Aviation","AP173"
"Orbit Express Airlines","AP1"
"Flight Inspections and Systems","AP550"
"Tanana Air Services","AP987"
"Samgau","AP335"
"Bluebird Cargo","AP360"
"Volare Air Charter Company","AP621"
"Aerotaxis Dosmil","AP95"
"Lockheed Martin Aeronautics","AP257"
"Air Fecteau","AP388"
"Olympic Aviation","AP377"
"Haitian Aviation Line","AP632"
"easyJet","AP241"
"Indonesia Sky","AP601"
"North-East Airlines","AP166"
"Lentini Aviation","AP86"
"Hak Air","AP286"
"Miller Flying Services","AP395"
"Deer Jet","AP895"
"U.S. Air","AP676"
"All Colombia","AP375"
"Medical Aviation Services","AP130"
"Aviaprom Enterprises","AP202"
"Hewa Bora Airways","AP37"
"Avia Air N.V.","AP800"
"Ukraine International Airlines","AP513"
"Insel Air (7I/INC) (Priv)","AP810"
"OneJet","AP997"
"EFAOS- Agencia De Viagens e Turismo","AP202"
"Balkan Agro Aviation","AP951"
"Senator Aviation Charter","AP528"
"Airport Helicopter Basel","AP420"
"Execujet Charter","AP626"
"Canadian Helicopters","AP968"
"Tropical International Airways","AP879"
"SAS Braathens","AP497"
"AMS Group","AP38"
"Casino Airline","AP412"
"Aviaexpress Aircompany","AP56"
"Comercial Aerea","AP730"
"Direct Air","AP585"
"Avinor","AP488"
"Servicios Aereos Del Centro","AP789"
"Eagle Aviation","AP262"
"Meta Linhas A","AP366"
"Air VIA","AP895"
"Des R Cargo Express","AP562"
"Tranporte Aereo Dominicano","AP922"
"Flybaboo","AP416"
"Koda International","AP404"
"Patriot Airways","AP91"
"Aviacion Del Noroeste","AP594"
"Eckles Aircraft","AP480"
"Bravo Airlines","AP432"
"Aero Util","AP305"
"Air Routing International Corp.","AP289"
"Air Travel Corp.","AP933"
"La Ronge Aviation Services","AP343"
"Keystone Aerial Surveys","AP413"
"ACM Air Charter","AP519"
"Icaro","AP307"
"Merpati Nusantara Airlines","AP755"
"Baikotovitchestrian Airlines ","AP959"
"ICC Canada","AP996"
"First Line Air","AP596"
"Aeropostal Cargo de Mexico","AP60"
"Urartu-Air","AP151"
"Heli Air Services","AP184"
"River State Government of Nigeria","AP103"
"Transportes Aereos de Ixtlan","AP804"
"Odessa Airlines","AP976"
"JS Air","AP840"
"Aviaservice","AP155"
"Trans Reco","AP406"
"Benair","AP126"
"Industrias Titan","AP968"
"Euroamerican Air","AP829"
"Alliance","AP140"
"East Kansas City Aviation","AP855"
"Aeroservicios Monterrey","AP70"
"Airsprint","AP279"
"International Company for Transport","AP234"
"California Western","AP797"
"Australia Asia Airlines","AP658"
"Challenge Air Transport","AP967"
"LAN Argentina","AP441"
"Miami Air International","AP249"
"Azamat","AP586"
"Inflite The Jet Centre","AP922"
"GoldAir","AP663"
"Christophorus Flugrettungsverein","AP536"
"GoldAir","AP863"
"North British Airlines","AP565"
"Nanyah Aviation","AP251"
"Tikal Jets Airlines","AP490"
"Senair Services","AP157"
"CSA Air","AP921"
"Aviazur","AP848"
"Asian Aerospace Service","AP384"
"Buffalo Express Airlines","AP684"
"Heli Hungary","AP818"
"SkyWest","AP156"
"Global Jet Luxembourg","AP999"
"Northafrican Air Transport","AP562"
"Tengeriyn Ulaach Shine","AP871"
"Alta Flights (Charters) Ltd.","AP777"
"JetBlue Airways","AP311"
"Oasis Hong Kong Airlines","AP399"
"Aviation Beaufort","AP288"
"Wings Express","AP186"
"Aero Biniza","AP958"
"Trans-Kiev","AP751"
"North Pacific Airlines","AP953"
"Intair","AP689"
"British Gulf International-Fez","AP66"
"Saskatchewan Government Executive Air Service","AP494"
"Aviodetachment-28","AP430"
"GermanXL","AP151"
"Elilombarda","AP677"
"Aviation Charter Services","AP840"
"Islands Express","AP150"
"Anderson Aviation","AP821"
"Falcon Air","AP803"
"Cirrus Air","AP362"
"SAAB Nyge Aero","AP579"
"Badr Airlines","AP396"
"Carpatair Flight Training","AP192"
"Flight Training Europe","AP408"
"Krimaviamontag","AP599"
"Aerovias Bueno","AP672"
"Sukhoi Design Bureau Company","AP50"
"DHL Aero Expreso","AP657"
"Aerotal Aerolineas Territoriales de Colombia Ltda","AP359"
"Annsett New Zealand (NZA)","AP48"
"Mississippi Valley Airways","AP439"
"Air Pal","AP317"
"Malmoe Air Taxi","AP763"
"JS Aviation","AP548"
"Nigerian Global","AP213"
"TG Aviation","AP918"
"EFD Eisele Flugdienst","AP55"
"Budget Air Bangladesh","AP737"
"Blue Dart Aviation","AP576"
"Polet","AP713"
"NordWind Airlines","AP67"
"Egyptian Aviation","AP179"
"Casement Aviation","AP207"
"Hokkaido Air System","AP463"
"Goodridge (UK) Limited","AP949"
"Digital Equipment Corporation","AP313"
"Golden Air","AP998"
"Uni-Fly","AP981"
"Wondair on Demand Aviation","AP604"
"Shenzhen Donghai Airlines","AP350"
"Air Vegas","AP943"
"Conroe Aviation Services","AP664"
"Garrison Aviation","AP324"
"Euro Jet","AP95"
"bmi","AP745"
"Amako Airlines","AP589"
"Namibian Defence Force","AP625"
"Transportes Aereos Cielos Andinos","AP264"
"Wittering FTU","AP25"
"AVC Airlines","AP85"
"Commander Mexicana","AP920"
"Premium Aviation","AP297"
"Planemaster Services","AP395"
"Blue Panorama Airlines","AP258"
"Charlie Hammonds Flying Service","AP28"
"Virgin Australia","AP433"
"Aria Tour","AP230"
"Constanta Airline","AP804"
"USA3000 Airlines","AP867"
"Rockwell Collins Avionics","AP908"
"China Postal Airlines","AP999"
"Virgin Australia","AP788"
"L&L Flygbildteknik","AP423"
"Itali Airlines","AP539"
"Opal Air","AP222"
"Vega Air Company","AP287"
"Ozjet Airlines","AP652"
"Aviateca","AP316"
"3D Aviation","AP913"
"Mississippi Valley Airways","AP224"
"Astral Aviation","AP804"
"Blue Dart Aviation","AP953"
"Berry Aviation","AP488"
"Finnish Air Force","AP919"
"Cargo 360","AP84"
"Mid-Pacific Airlines","AP189"
"TAN","AP97"
"TAF Helicopters","AP557"
"Stewart Aviation Services","AP452"
"Briansk State Air Enterprise","AP881"
"Air Nepal International","AP463"
"Skytaxi","AP209"
"Skygate","AP673"
"Long Island Airlines","AP336"
"Danu Oro Transportas","AP776"
"Aeroingenieria","AP754"
"Aero-Service","AP398"
"Belgian Air Force","AP627"
"Jets Personales","AP739"
"Central Air Express","AP648"
"FR Aviation","AP389"
"Faroecopter","AP538"
"Tengeriyn Ulaach Shine","AP643"
"HT Helikoptertransport","AP461"
"Basler Flight Service","AP522"
"Virgin Express","AP666"
"Government Flying Service","AP185"
"Royal Sky","AP198"
"State Flight Academy of Ukraine","AP227"
"Comfort Express Virtual Charters Albany","AP749"
"Fly One","AP602"
"Aerovilla","AP43"
"Porteadora De Cosola","AP497"
"Peruvian Navy","AP911"
"VHM Schul-und-Charterflug","AP650"
"Aerodin","AP670"
"Arca Aerovias Colombianas Ltda.","AP696"
"Air Partner","AP49"
"Sundance Air","AP676"
"Era Helicopters","AP575"
"Sky One Express Airlines","AP823"
"Guine Bissaur Airlines","AP110"
"International Trans-Air","AP82"
"BF-Lento OY","AP309"
"Air People International","AP650"
"Georgian Airways","AP642"
"Aerodyne","AP995"
"CanJet","AP466"
"Safiran Airlines","AP212"
"Air Max Africa","AP475"
"Europe Air Lines","AP387"
"Atlas Airlines","AP474"
"Wisman Aviation","AP449"
"Camai Air","AP238"
"Caernarfon Airworld","AP425"
"All America","AP561"
"Shandong Airlines Rainbow Jet","AP848"
"Ibertrans Aerea","AP792"
"Sky Aircraft Service","AP881"
"Farmingdale State University","AP124"
"West Africa Airlines","AP390"
"Aerodyne Charter Company","AP177"
"American Aviation","AP325"
"Air Cargo Transportation System","AP581"
"Helicentre Coventry","AP155"
"Nesma Airlines","AP788"
"Global Aircargo","AP511"
"Global System","AP684"
"VIF Luftahrt","AP733"
"Israeli Air Force","AP940"
"Regional 1","AP775"
"German International Air Lines","AP179"
"Air Europa","AP793"
"Compuflight Operations Service","AP685"
"Air Niugini","AP54"
"Lauda Air Italy","AP863"
"Airsprint","AP532"
"UTair Aviation","AP253"
"Skylink Aviation","AP840"
"Eurocypria Airlines","AP150"
"EasyJet (DS)","AP434"
"Sat Airlines","AP543"
"Travelsky Technology","AP445"
"Pacific Flier","AP444"
"Windrose Air","AP15"
"Air Baltic","AP77"
"Armavia","AP845"
"Aeroservicios De San Luis","AP848"
"Montenegro Airlines","AP180"
"AirAsia X","AP256"
"Alas Nacionales","AP349"
"Harbour Air (Priv)","AP872"
"Jets Y Servicios Ejecutivos","AP309"
"Air Nippon Network Co. Ltd.","AP185"
"USAfrica Airways","AP722"
"Pelican Air Services","AP47"
"Aeronorte","AP49"
"First Choice Airways","AP524"
"Cardinal/Air Virginia","AP414"
"Sabre","AP121"
"RegionsAir","AP259"
"Gauteng Air Cargo","AP188"
"Airlinair","AP385"
"Bright Air","AP352"
"Aviogenex","AP484"
"Awesome Flight Services (PTY) Ltd.","AP564"
"Victor Tagle Larrain","AP68"
"Trans World Airlines","AP986"
"TAMPA","AP146"
"Servicios Aereos Ilsa","AP614"
"MHS Aviation GmbH","AP767"
"Unsped Paket Servisi","AP999"
"Red Star","AP10"
"ATA Airlines","AP189"
"Central European Airlines","AP166"
"Jetfly Airlines","AP936"
"Shooter Air Courier","AP554"
"Civil Air Transport","AP179"
"LTU Austria","AP366"
"Aerocesar","AP869"
"Interaire","AP795"
"LTV Jet Fleet Corporation","AP541"
"Eastern Express","AP293"
"Adygeya Airlines","AP809"
"Smithkline Beacham Clinical Labs","AP768"
"White Eagle Aviation","AP805"
"Aeronautica Militare","AP673"
"Embry-Riddle Aeronautical University","AP592"
"XAIR USA","AP134"
"Orenburg Airlines","AP536"
"Police Aux Frontiers","AP647"
"Helenair (Barbados)","AP349"
"Gavina","AP483"
"Air Brousse","AP564"
"Amal Airlines","AP823"
"Orenburg Airlines","AP351"
"Jet Fighter Flights","AP490"
"Irtysh Airlines","AP448"
"Sheltam Aviation","AP83"
"Helenia Helicopter Service","AP537"
"Turkish Airlines","AP470"
"Air Executive Charter","AP658"
"Jetnova de Aviacion Ejecutiva","AP182"
"SAAD (A320) Limited","AP602"
"TRAGSA (Medios Aereos)","AP63"
"Airmax","AP391"
"Aerolineas Olve","AP810"
"Riga Airclub","AP347"
"GREAT LAKES (GX)","AP778"
"Air Kazakhstan","AP164"
"Veritair Ltd","AP997"
"Donair Flying Club","AP470"
"Trans Air","AP195"
"Altair Aviation (1986)","AP527"
"Capital Airlines Limited","AP204"
"Kosmas Air","AP433"
"Slovak National Aeroclub","AP894"
"Southjet cargo","AP43"
"Aerlineas Del Oeste","AP564"
"Lynx Air International","AP741"
"Commandement Du Transport Aerien Militaire Francais","AP693"
"Gulf Flite Center","AP182"
"Uganda Air Cargo","AP871"
"Priority Aviation Company","AP789"
"Spectrem Air","AP90"
"NEL Cargo","AP22"
"Tyrolean Jet Service","AP499"
"Nuevo Horizonte Internacional","AP784"
"Eurolot","AP476"
"Magna Air","AP516"
"Galair International","AP914"
"Krylo Airlines","AP318"
"Orange Air Sierra Leone","AP510"
"Air Next","AP435"
"Wapiti Aviation","AP896"
"Knights Airlines","AP911"
"Samurai Airlines","AP557"
"Honduras Airlines","AP376"
"International Sabilisation Assistance Force","AP259"
"Helicopteros Y Vehiculos Nacionales Aereos","AP263"
"Aero Servicios de Nuevo Laredo","AP458"
"Noy Aviation","AP654"
"EFAOS- Agencia De Viagens e Turismo","AP115"
"Tiara Air","AP523"
"TACV","AP347"
"African Business and Transportations","AP471"
"Visig Operaciones Aereas","AP75"
"Citibank","AP54"
"China Cargo Airlines","AP577"
"Moskovia Airlines","AP570"
"Camair-co","AP659"
"Hainan Airlines","AP832"
"Katekavia","AP755"
"Air Niamey","AP575"
"Interavia Airlines","AP791"
"STAC Swiss Government Flights","AP759"
"Shawnee Airline","AP110"
"Dominicana de Aviaci","AP782"
"Aleem","AP780"
"Air Cargo Express","AP512"
"Destiny Air Services","AP182"
"Central Connect Airlines","AP900"
"Scenic Air","AP19"
"Tomp Airlines","AP33"
"Aeromorelos","AP179"
"Bulgarian Air Charter","AP906"
"Slovak Government Flying Service","AP726"
"G & L Aviation","AP510"
"Namibia Commerical Aviation","AP108"
"Transportes Aereos San Rafael","AP535"
"Luzair","AP579"
"JDAviation","AP550"
"PRT Aviation","AP285"
"Algoma Airways","AP802"
"Elite Jets","AP301"
"Safi Airlines","AP312"
"Bassaka airlines","AP352"
"Helicentre Coventry","AP643"
"Air West","AP379"
"LAI - Linea Aerea IAACA","AP196"
"Comfort Air","AP896"
"Shell Aircraft","AP893"
"Suckling Airways","AP382"
"Vistajet","AP763"
"Executive Flight Operations Ontario Government","AP971"
"Air Montenegro","AP396"
"Canadian Forces","AP463"
"Galileo International","AP530"
"Sprintair","AP906"
"Efata Papua Airlines","AP385"
"Jetgo International","AP182"
"Avient Aviation","AP160"
"Hawaiian Pacific Airlines","AP72"
"South Central Air","AP365"
"Air Luxor","AP117"
"Transport'air","AP71"
"Linton-on-Ouse Flying Training Unit","AP727"
"First Flying","AP847"
"Dunyaya Bakis Hava Tasimaciligi","AP854"
"Gambia International Airlines","AP389"
"Pearl Air Services","AP13"
"Air Mali International","AP439"
"Air Urga","AP450"
"Wizz Air","AP970"
"Avcenter","AP842"
"Paragon Air Express","AP397"
"Aeronautica Militare","AP94"
"Eastern Atlantic Virtual Airlines","AP584"
"Sosoliso Airlines","AP535"
"Lineas Aereas Alaire S.L.","AP269"
"Luchtvaartmaatschappij Twente","AP611"
"Albarka Air","AP386"
"Air India Limited","AP397"
"China United","AP592"
"Rusaero","AP133"
"Transportaciones Y Servicios Aereos","AP580"
"Lossiemouth Flying Training Unit","AP66"
"Aerotaxis del Noroeste","AP770"
"West African Cargo Airlines","AP410"
"Air Hong Kong","AP531"
"TAME","AP121"
"Rossiya-Russian Airlines","AP370"
"Antrak Air","AP299"
"Universal Airlines","AP664"
"224th Flight Unit","AP774"
"Carill Aviation","AP895"
"Bissau Discovery Flying Club","AP488"
"VIP-Avia","AP88"
"Trans Guyana Airways","AP961"
"Servicios Aereos Del Norte","AP14"
"Transcorp Airways","AP702"
"Cape Air Transport","AP566"
"LOT Polish Airlines","AP340"
"Régional","AP937"
"Air Safaris and Services","AP247"
"Aerotrans","AP277"
"Inter-Canadian","AP383"
"Nordeste Linhas Aereas Regionais","AP643"
"Flight Express","AP765"
"Falwell Aviation","AP924"
"Snunit Aviation","AP35"
"Socofer","AP457"
"Zenith Air","AP681"
"Shuttle America","AP847"
"Sun West Airlines","AP23"
"Air Special","AP501"
"Northwest Aero Associates","AP492"
"Cal Gulf Aviation","AP959"
"Executive Aircraft Charter and Charter Services","AP688"
"Air Ambar","AP10"
"Thai Sky Airlines","AP238"
"Vuela Bus","AP813"
"Ambjek Air Services","AP586"
"Executive Turbine Aviation","AP286"
"Air Canada","AP265"
"Gum Air","AP496"
"Katekavia","AP484"
"Delta State University","AP727"
"Arrow Aviation Ltd.","AP742"
"Airshare Holdings","AP47"
"Belgian Army","AP285"
"Ross Aviation","AP53"
"Rainbow Air Canada","AP557"
"Eurofly","AP224"
"Flycolumbia","AP616"
"Mandala Airlines","AP227"
"Haiti National Airlines (HANA)","AP964"
"China Xinhua Airlines","AP438"
"Transportaciones Y Servicios Aereos","AP813"
"Skyfreight","AP986"
"Aero Mongolia","AP78"
"Yak-Service","AP598"
"Aereonautica militare","AP327"
"Marsland Aviation","AP486"
"Direct Aero Services","AP565"
"Ecotour","AP794"
"Aviacon Zitotrans Air Company","AP817"
"Star Work Sky","AP27"
"Air Sultan","AP258"
"Maryland State Police","AP910"
"Air and Sea Transport","AP845"
"TAPC Aviatrans Aircompany","AP178"
"Phetchabun Airline","AP6"
"Air Taxi & Cargo","AP103"
"Scandinavian Airlines System","AP985"
"C and M Aviation","AP199"
"Wayraper","AP974"
"Royal Saudi Air Force","AP388"
"Jin Air","AP596"
"Turk Hava Kurumu Hava Taksi Isletmesi","AP39"
"Four Island Air","AP310"
"ATA Airlines","AP383"
"Aviaservice","AP371"
"Nile Air","AP202"
"Polizeihubschrafterstaffel Rheinland-Pfalz","AP924"
"Jettor Airlines","AP740"
"Line Blue","AP565"
"Nile Valley Aviation Company","AP727"
"TEA Switzerland","AP611"
"Martinair","AP838"
"Chalk's Ocean Airways","AP94"
"Best Air","AP567"
"Aerovic","AP587"
"Sarit Airlines","AP518"
"Nordic Global Airlines","AP835"
"Aviapaslauga","AP575"
"Zanair","AP201"
"Air Victoria Georgia","AP99"
"Turkish Air Force","AP676"
"Jet-Ops","AP713"
"Thai Sky Airlines","AP187"
"UM Airlines","AP312"
"Rossiya","AP659"
"LOT Polish Airlines","AP128"
"Midline Air Freight","AP827"
"Novair","AP682"
"Rick Lucas Helicopters","AP851"
"Powell Air","AP632"
"Lossiemouth Flying Training Unit","AP967"
"Dubrovnik Air","AP296"
"Angoavia","AP6"
"Streamline Ops","AP375"
"Aero Ejecutivos RCG","AP983"
"Private Jet Expeditions","AP562"
"Marcopolo Airways","AP657"
"INAVIA Internacional","AP463"
"Aeroxtra","AP607"
"Italy First","AP746"
"BWA (2002) Ltd","AP375"
"Tajikair","AP335"
"Indonesa Air Aisa X","AP916"
"GB Airlink","AP187"
"Air Djibouti","AP675"
"Aeroline GmbH","AP4"
"Aruba Airlines","AP708"
"Air Charters","AP424"
"Trans-Florida Airlines","AP251"
"LAN Cargo","AP307"
"Cherokee Express","AP636"
"Aero Zano","AP452"
"Orange Air Services","AP451"
"Gujarat Airways","AP259"
"North Sea Airways","AP512"
"SENIC AIRLINES","AP742"
"Aklak Air","AP252"
"Aero Quimmco","AP508"
"Sheba Aviation","AP284"
"Lufttransport","AP932"
"Azza Transport","AP77"
"LSM Airlines","AP417"
"Transair Gabon]","AP259"
"Aerosegovia","AP744"
"Arkia Israel Airlines","AP994"
"Nyasa Express","AP766"
"Tol-Air Services","AP790"
"Jet Service","AP822"
"Texair Charter","AP132"
"Kalitta Air","AP556"
"Snowbird Airlines","AP193"
"Agrolet-Mci","AP508"
"Aeroservicios De San Luis","AP438"
"Awesome Flight Services (PTY) Ltd.","AP791"
"Aviapartner Limited Company","AP768"
"Amerer Air","AP688"
"Buddha Air","AP868"
"Lebanon Airport Development Corporation","AP437"
"European Business Jets","AP754"
"Wright Air Service","AP777"
"LC Busre","AP189"
"Texas Spirit","AP19"
"Aer Arann","AP651"
"Air One Cityliner","AP510"
"Air Cargo America","AP720"
"Senair Services","AP140"
"Aeromilenio","AP694"
"JM Family Aviation","AP114"
"White","AP537"
"Futura International Airways","AP199"
"Amiya Airline","AP619"
"Spanish Air Force","AP981"
"Tehran Airline","AP597"
"Aerofan","AP690"
"North Pacific Airlines","AP52"
"Zuliana de Aviacion","AP589"
"Mbach Air","AP497"
"BQB Lineas Aereas","AP430"
"SGA Airlines","AP99"
"Presidencia de La Republica de Guinea Ecuatorial","AP896"
"Layang-Layang Aerospace","AP377"
"Alada","AP127"
"Didier Rousset Buy","AP30"
"Aeroatlantico Colombia","AP278"
"Executive Air","AP198"
"Flamingo Air","AP924"
"Thai Flying Service","AP196"
"Shawnee Airline","AP714"
"Black Stallion Airways","AP826"
"COAPA AIR","AP621"
"Avolar Aerolineas","AP742"
"SkyWest","AP326"
"Parcel Express","AP849"
"Cyprus Airways","AP321"
"PAC Air","AP353"
"African International Airways","AP616"
"Altagna","AP474"
"Uganda Airlines","AP467"
"Voar Lda","AP62"
"Prince Edward Air","AP443"
"Elysian Airlines","AP490"
"Federal Aviation Administration","AP332"
"Blue Swann Aviation","AP887"
"Methow Aviation","AP73"
"Lineas Aereas Monarca","AP710"
"Juneyao Airlines","AP128"
"Aircraft Support and Services","AP463"
"Surinam Airways","AP442"
"Funtshi Aviation Service","AP671"
"Air Tenglong","AP333"
"Rusuertol","AP22"
"Aero Renta De Coahuila","AP689"
"National Jet Systems","AP239"
"Confort Air","AP410"
"Samson Aviation","AP223"
"Flight Trac","AP517"
"LAN Cargo","AP602"
"Northcoast Executive Airlines","AP999"
"Chernomor-Avia","AP966"
"Trans-Air-Congo","AP384"
"Ministry of Agriculture","AP122"
"Bright Air","AP918"
"Transavio","AP545"
"Silvair","AP68"
"Aero Personal","AP267"
"Bonair Aviation","AP572"
"Compagnie Mauritanienne Des Transports","AP38"
"Butane Buzzard Aviation Corporation","AP147"
"Royal Australian Air Force","AP555"
"Safe Air","AP978"
"Blue Jet","AP309"
"Bonus Aviation","AP467"
"ICC Canada","AP532"
"Maximus Air Cargo","AP141"
"Malawian Airlines","AP217"
"Helitt Líneas Aéreas","AP596"
"East Asia Airlines","AP136"
"Naturelink Charter","AP581"
"Atlantic Coast Jet","AP997"
"Sonalysts","AP335"
"Crow Executive Air","AP4"
"Sahara Airlines","AP978"
"Air Star Corporation","AP812"
"Century Aviation International","AP868"
